ID,Movie Name,Rating,Genre,Votes
421,The General,8.1,"Action, Adventure, Comedy",94051
422,The Message,8.1,"Biography, Drama, History",49112
423,The Miracle Worker,8.1,"Biography, Drama",19593
424,Miracle in Cell No. 7,8.1,"Comedy, Drama",21761
425,The Red Shoes,8.1,"Drama, Music, Romance",36920
426,Barfi!,8.1,"Comedy, Drama, Romance",84140
427,Wolf Children,8.1,"Animation, Drama, Family",47012
428,White Heat,8.1,"Action, Crime, Drama",34334
429,Throne of Blood,8.1,Drama,53894
430,Diabolique,8.1,"Crime, Drama, Horror",67454
431,Autumn Sonata,8.1,"Drama, Music",35932
432,A Moment to Remember,8.1,"Drama, Romance",24772
433,The Gold Rush,8.1,"Adventure, Comedy, Drama",114081
434,Sunrise,8.1,"Drama, Romance",52399
435,Dil Chahta Hai,8.1,"Comedy, Drama, Romance",73870
436,Masaan,8.1,Drama,29363
437,Army of Shadows,8.1,"Drama, War",24708
438,The Twilight Samurai,8.1,"Drama, Romance",24616
439,Talvar,8.1,"Crime, Drama, Mystery",36557
440,The Virgin Spring,8.1,Drama,30438
441,Queen,8.1,"Adventure, Comedy, Drama",67098
442,Nights of Cabiria,8.1,Drama,50454
443,A Short Film About Love,8.1,"Drama, Romance",24795
444,Ace in the Hole,8.1,"Drama, Film-Noir",37501
445,Rififi,8.1,"Crime, Drama, Thriller",35635
446,Where Is the Friend's House?,8.1,"Drama, Family",16678
447,Time of the Gypsies,8.1,"Comedy, Crime, Drama",31725
448,Hera Pheri,8.1,"Action, Comedy, Crime",69533
449,Raise the Red Lantern,8.1,"Drama, Romance",34005
450,Rang De Basanti,8.1,"Comedy, Crime, Drama",120551
451,Let's Go! India,8.1,"Drama, Family, Sport",82327
452,Udaan,8.1,Drama,45922
453,A Special Day,8.1,Drama,14928
454,Article 15,8.1,"Crime, Drama, Mystery",35224
455,The Heiress,8.1,"Drama, Romance",16479
456,Pink,8.1,"Crime, Drama, Thriller",46512
457,Jean de Florette,8.1,"Comedy, Drama",26697
458,Sholay,8.1,"Action, Adventure, Comedy",57153
459,The Grand Illusion,8.1,"Drama, War",37710
460,Tangerines,8.1,"Drama, War",47569
461,Love Today,8.1,"Comedy, Drama, Romance",13710
462,Viridiana,8.1,Drama,25239
463,Thuppakki,8.1,"Action, Thriller",35954
464,Major,8.1,"Action, Biography, Drama",30565
465,Omkara,8.1,"Action, Crime, Drama",21325
466,A Christmas Carol,8.1,"Drama, Family, Fantasy",24298
467,Safety Last!,8.1,"Action, Comedy, Thriller",21727
468,The Tashkent Files,8.1,"Drama, Mystery, Thriller",35169
469,Faust,8.1,"Drama, Fantasy, Horror",15928
470,Greed,8.1,"Drama, Thriller, Western",10400
471,Munna Bhai M.B.B.S.,8.1,"Comedy, Drama",84658
472,The Circus,8.1,"Comedy, Family, Romance",34903
